[ 6705379ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Wybe2LJw6zT9k_lA7YP7V' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6706381ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Wybe2LJw6zT9k_lA7YP7V' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6707382ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Wybe2LJw6zT9k_lA7YP7V' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6708385ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Wybe2LJw6zT9k_lA7YP7V' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6709389ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Wybe2LJw6zT9k_lA7YP7V' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6714396ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Wybe2LJw6zT9k_lA7YP7V' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6719405ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Wybe2LJw6zT9k_lA7YP7V' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6724423ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Wybe2LJw6zT9k_lA7YP7V' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6729453ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Wybe2LJw6zT9k_lA7YP7V' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6734515ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Wybe2LJw6zT9k_lA7YP7V' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
